name,created_at,updated_at,stars,language,releases,merged_pr,total_issues,closed_issues
build-your-own-x,2018-05-09T12:03:18Z,2026-03-14T16:39:24Z,475064,Markdown,0,155,890,653
awesome,2014-07-11T13:42:37Z,2026-03-14T16:33:52Z,445414,,0,694,366,350
freeCodeCamp,2014-12-24T17:49:19Z,2026-03-14T16:35:56Z,438123,TypeScript,0,27820,21171,21034
public-apis,2016-03-20T23:49:42Z,2026-03-14T16:37:21Z,410094,Python,0,1872,843,832
free-programming-books,2013-10-11T06:50:37Z,2026-03-14T16:36:40Z,383987,Python,0,7337,1264,1228
developer-roadmap,2017-03-15T13:45:52Z,2026-03-14T16:26:19Z,350886,TypeScript,1,4093,3093,3083
system-design-primer,2017-02-26T16:15:28Z,2026-03-14T16:37:11Z,338812,Python,0,208,363,116
coding-interview-university,2016-06-06T02:34:12Z,2026-03-14T16:30:55Z,337807,,0,415,526,454
openclaw,2025-11-24T10:16:47Z,2026-03-14T16:40:40Z,312602,TypeScript,68,3242,19014,11361
awesome-python,2014-06-27T21:00:06Z,2026-03-14T16:40:22Z,287103,Python,0,642,0,0
awesome-selfhosted,2015-06-01T02:33:17Z,2026-03-14T16:34:45Z,279907,,1,2395,807,807
996.ICU,2019-03-26T07:31:14Z,2026-03-14T16:29:17Z,275763,,0,1072,0,0
project-based-learning,2017-04-12T05:07:46Z,2026-03-14T16:29:25Z,260925,,0,182,227,82
react,2013-05-24T16:15:54Z,2026-03-14T16:30:38Z,243915,JavaScript,118,12784,14403,13592
linux,2011-09-04T22:48:12Z,2026-03-14T16:39:12Z,222671,C,0,0,0,0
Python,2016-07-16T09:44:01Z,2026-03-14T16:27:49Z,218634,Python,0,3070,1705,1540
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2026-03-14T16:40:39Z,209992,,0,122,0,0
vue,2013-07-29T03:24:51Z,2026-03-14T15:31:51Z,209975,TypeScript,249,1136,10028,9669
computer-science,2014-05-04T00:18:39Z,2026-03-14T16:40:47Z,202346,HTML,0,305,669,655
javascript-algorithms,2018-03-24T07:47:04Z,2026-03-14T11:59:47Z,195760,JavaScript,0,304,372,234
tensorflow,2015-11-07T01:19:20Z,2026-03-14T16:36:10Z,194132,C++,222,42687,41225,40313
ohmyzsh,2009-08-28T18:15:37Z,2026-03-14T16:30:41Z,185339,Shell,0,3520,5036,4893
You-Dont-Know-JS,2013-11-16T02:37:24Z,2026-03-14T14:36:24Z,184501,,0,370,949,949
CS-Notes,2018-02-13T14:56:24Z,2026-03-14T15:50:29Z,183935,,0,374,578,449
vscode,2015-09-03T20:23:38Z,2026-03-14T16:36:54Z,182630,TypeScript,199,43679,233784,219877
AutoGPT,2023-03-16T09:21:07Z,2026-03-14T15:46:04Z,182450,Python,95,4027,3748,3519
Python-100-Days,2018-03-01T16:05:52Z,2026-03-14T16:14:15Z,179627,Jupyter Notebook,0,13,711,188
n8n,2019-06-22T09:24:21Z,2026-03-14T16:38:14Z,179102,TypeScript,556,14285,8332,7894
flutter,2015-03-06T22:54:58Z,2026-03-14T15:46:16Z,175555,Dart,7,47069,112599,100410
bootstrap,2011-07-29T21:19:00Z,2026-03-14T14:58:32Z,174071,MDX,94,9143,22851,22543
gitignore,2010-11-08T20:17:14Z,2026-03-14T15:50:06Z,172982,,0,1727,0,0
Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2026-03-14T16:34:14Z,168745,Batchfile,29,6,914,913
awesome-go,2014-07-06T13:42:15Z,2026-03-14T16:26:13Z,167323,Go,0,3623,728,715
ollama,2023-06-26T19:39:32Z,2026-03-14T16:37:15Z,165046,Go,191,3112,9576,7573
stable-diffusion-webui,2022-08-22T14:05:26Z,2026-03-14T16:31:14Z,161704,Python,27,1884,7892,5487
the-art-of-command-line,2015-05-20T15:11:03Z,2026-03-14T15:19:35Z,160284,,0,317,262,136
transformers,2018-10-29T13:56:00Z,2026-03-14T16:37:14Z,157809,Python,244,18834,18710,17641
JavaGuide,2018-05-07T13:27:00Z,2026-03-14T16:11:39Z,154232,Java,0,1216,1133,1066
prompts.chat,2022-12-05T13:54:13Z,2026-03-14T16:37:12Z,152373,HTML,0,201,138,130
FreeDomain,2024-05-30T13:23:00Z,2026-03-14T16:40:51Z,152349,HTML,0,1,0,0
yt-dlp,2020-10-26T04:22:55Z,2026-03-14T16:32:01Z,151153,Python,132,3237,11180,9357
