name;created_at;updated_at;stars;language;releases;merged_pr;total_issues;closed_issues;idade_dias;idade_anos;dias_desde_update;taxa_issues_fechadas
build-your-own-x;2018-05-09 12:03:18+00:00;2026-03-14 16:39:24+00:00;475064;Markdown;0;155;890;653;2866;7.85;0.01;0.7337078651685394
awesome;2014-07-11 13:42:37+00:00;2026-03-14 16:33:52+00:00;445414;;0;694;366;350;4264;11.68;0.01;0.9562841530054644
freeCodeCamp;2014-12-24 17:49:19+00:00;2026-03-14 16:35:56+00:00;438123;TypeScript;0;27820;21171;21034;4097;11.22;0.01;0.9935288838505503
public-apis;2016-03-20 23:49:42+00:00;2026-03-14 16:37:21+00:00;410094;Python;0;1872;843;832;3645;9.99;0.01;0.9869513641755635
free-programming-books;2013-10-11 06:50:37+00:00;2026-03-14 16:36:40+00:00;383987;Python;0;7337;1264;1228;4537;12.43;0.01;0.9715189873417721
developer-roadmap;2017-03-15 13:45:52+00:00;2026-03-14 16:26:19+00:00;350886;TypeScript;1;4093;3093;3083;3286;9.0;0.02;0.9967668929841578
system-design-primer;2017-02-26 16:15:28+00:00;2026-03-14 16:37:11+00:00;338812;Python;0;208;363;116;3303;9.05;0.01;0.31955922865013775
coding-interview-university;2016-06-06 02:34:12+00:00;2026-03-14 16:30:55+00:00;337807;;0;415;526;454;3568;9.78;0.02;0.8631178707224335
openclaw;2025-11-24 10:16:47+00:00;2026-03-14 16:40:40+00:00;312602;TypeScript;68;3242;19014;11361;110;0.3;0.01;0.5975071000315557
awesome-python;2014-06-27 21:00:06+00:00;2026-03-14 16:40:22+00:00;287103;Python;0;642;0;0;4277;11.72;0.01;0.0
awesome-selfhosted;2015-06-01 02:33:17+00:00;2026-03-14 16:34:45+00:00;279907;;1;2395;807;807;3939;10.79;0.01;1.0
996.ICU;2019-03-26 07:31:14+00:00;2026-03-14 16:29:17+00:00;275763;;0;1072;0;0;2545;6.97;0.02;0.0
project-based-learning;2017-04-12 05:07:46+00:00;2026-03-14 16:29:25+00:00;260925;;0;182;227;82;3258;8.93;0.02;0.36123348017621143
react;2013-05-24 16:15:54+00:00;2026-03-14 16:30:38+00:00;243915;JavaScript;118;12784;14403;13592;4677;12.81;0.02;0.943692286329237
linux;2011-09-04 22:48:12+00:00;2026-03-14 16:39:12+00:00;222671;C;0;0;0;0;5304;14.53;0.01;0.0
Python;2016-07-16 09:44:01+00:00;2026-03-14 16:27:49+00:00;218634;Python;0;3070;1705;1540;3528;9.67;0.02;0.9032258064516129
the-book-of-secret-knowledge;2018-06-23 10:43:14+00:00;2026-03-14 16:40:39+00:00;209992;;0;122;0;0;2821;7.73;0.01;0.0
vue;2013-07-29 03:24:51+00:00;2026-03-14 15:31:51+00:00;209975;TypeScript;249;1136;10028;9669;4611;12.63;0.06;0.9642002393298763
computer-science;2014-05-04 00:18:39+00:00;2026-03-14 16:40:47+00:00;202346;HTML;0;305;669;655;4332;11.87;0.01;0.9790732436472347
javascript-algorithms;2018-03-24 07:47:04+00:00;2026-03-14 11:59:47+00:00;195760;JavaScript;0;304;372;234;2912;7.98;0.21;0.6290322580645161
tensorflow;2015-11-07 01:19:20+00:00;2026-03-14 16:36:10+00:00;194132;C++;222;42687;41225;40313;3780;10.36;0.01;0.9778775015160703
ohmyzsh;2009-08-28 18:15:37+00:00;2026-03-14 16:30:41+00:00;185339;Shell;0;3520;5036;4893;6041;16.55;0.02;0.971604447974583
You-Dont-Know-JS;2013-11-16 02:37:24+00:00;2026-03-14 14:36:24+00:00;184501;;0;370;949;949;4501;12.33;0.1;1.0
CS-Notes;2018-02-13 14:56:24+00:00;2026-03-14 15:50:29+00:00;183935;;0;374;578;449;2951;8.08;0.04;0.7768166089965398
vscode;2015-09-03 20:23:38+00:00;2026-03-14 16:36:54+00:00;182630;TypeScript;199;43679;233784;219877;3844;10.53;0.01;0.9405134654210724
AutoGPT;2023-03-16 09:21:07+00:00;2026-03-14 15:46:04+00:00;182450;Python;95;4027;3748;3519;1094;3.0;0.05;0.9389007470651014
Python-100-Days;2018-03-01 16:05:52+00:00;2026-03-14 16:14:15+00:00;179627;Jupyter Notebook;0;13;711;188;2935;8.04;0.03;0.26441631504922647
n8n;2019-06-22 09:24:21+00:00;2026-03-14 16:38:14+00:00;179102;TypeScript;556;14285;8332;7894;2457;6.73;0.01;0.9474315890542487
flutter;2015-03-06 22:54:58+00:00;2026-03-14 15:46:16+00:00;175555;Dart;7;47069;112599;100410;4025;11.03;0.05;0.8917485945701117
